year,coc_number,coc_name
2016,AR-503,Arkansas Balance of State
2016,AR-504,Delta Hills
2016,AR-505,Southeast Arkansas
2016,AR-508,Fort Smith
2016,AZ-500,Arizona Balance of State
2016,AZ-501,"Tucson,Pima County"
2016,AZ-502,"Phoenix, Mesa,Maricopa County"
2016,CA-500,"San Jose,Santa Clara City & County"
2016,CA-501,San Francisco
2016,CA-502,"Oakland, Berkeley,Alameda County"
2016,CA-503,Sacramento City & County
2016,CA-504,"Santa Rosa, Petaluma,Sonoma County"
2016,CA-505,"Richmond,Contra Costa County"
2016,CA-506,"Salinas,Monterey, San Benito Counties"
2016,CA-507,Marin County
2016,CA-508,"Watsonville,Santa Cruz City & County"
2016,CA-509,Mendocino County
2016,CA-510,"Turlock, Modesto,Stanislaus County"
2016,CA-511,"Stockton,San Joaquin County"
2016,CA-512,"Daly,San Mateo County"
2016,CA-513,"Visalia,Kings, Tulare Counties"
2016,CA-514,"Fresno City & County,Madera County"
2016,CA-515,"Roseville, Rocklin,Placer, Nevada Counties"
2016,CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties"
2016,CA-517,Napa City & County
2016,CA-518,"Vallejo,Solano County"
2016,CA-519,"Chico, Paradise,Butte County"
2016,CA-520,Merced City & County
2016,CA-521,"Davis, Woodland,Yolo County"
2016,CA-522,Humboldt County
2016,CA-523,"Colusa, Glenn, Trinity Counties"
2016,CA-524,"Yuba City & County,Sutter County"
2016,CA-525,El Dorado County
2016,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties"
2016,CA-527,Tehama County
2016,CA-529,Lake County
2016,CA-530,"Alpine, Inyo, Mono Counties"
2016,CA-600,Los Angeles City & County
2016,CA-601,San Diego City and County
2016,CA-602,"Santa Ana, Anaheim,Orange County"
2016,CA-603,"Santa Maria,Santa Barbara County"
2016,CA-604,"Bakersfield,Kern County"
2016,CA-606,Long Beach
2016,CA-607,Pasadena
2016,CA-608,Riverside City & County
2016,CA-609,San Bernardino City & County
2016,CA-611,"Oxnard, San Buenaventura,Ventura County"
2016,CA-612,Glendale
2016,CA-613,Imperial County
2016,CA-614,San Luis Obispo County
2016,CO-500,Colorado Balance of State
2016,CO-503,Metropolitan Denver
2016,CO-504,"Colorado Springs,El Paso County"
2016,CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County"
2016,CT-505,Connecticut Balance of State
2016,DC-500,District of Columbia
2016,DE-500,Delaware Statewide
2016,FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties"
2016,FL-501,"Tampa,Hillsborough County"
2016,FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County"
2016,FL-503,"Lakeland, Winterhaven,Polk County"
2016,FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties"
2016,FL-505,"Fort Walton Beach,Okaloosa, Walton Counties"
2016,FL-506,"Tallahassee,Leon County"
2016,FL-507,"Orlando,Orange, Osceola, Seminole Counties"
2016,FL-508,"Gainesville,Alachua, Putnam Counties"
2016,FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties"
2016,FL-510,"Jacksonville-Duval, Clay Counties"
2016,FL-511,"Pensacola,Escambia, Santa Rosa Counties"
2016,FL-512,St. Johns County
2016,FL-513,"Palm Bay, Melbourne,Brevard County"
2016,FL-514,"Ocala,Marion County"
2016,FL-515,"Panama City,Bay, Jackson Counties"
2016,FL-517,"Hendry, Hardee, Highlands Counties"
2016,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties"
2016,FL-519,Pasco County
2016,FL-520,"Citrus, Hernando, Lake, Sumter Counties"
2016,FL-600,Miami-Dade County
2016,FL-601,"Ft Lauderdale,Broward County"
2016,FL-602,"Punta Gorda,Charlotte County"
2016,FL-603,"Ft Myers, Cape Coral,Lee County"
2016,FL-604,Monroe County
2016,FL-605,"West Palm Beach,Palm Beach County"
2016,FL-606,"Naples,Collier County"
2016,GA-500,Atlanta
2016,GA-501,Georgia Balance of State
2016,GA-502,Fulton County
2016,GA-503,Athens-Clarke County
2016,GA-504,Augusta-Richmond County
2016,GA-505,"Columbus-Muscogee,Russell County"
2016,GA-506,"Marietta,Cobb County"
2016,GA-507,"Savannah,Chatham County"
2016,GA-508,DeKalb County
2016,GU-500,Guam
2016,HI-500,Hawaii Balance of State
2016,HI-501,Honolulu City and County
2016,IA-500,"Sioux City,Dakota, Woodbury Counties"
2016,IA-501,Iowa Balance of State
2016,IA-502,"Des Moines,Polk County"
2016,ID-500,"Boise,Ada County"
2016,ID-501,Idaho Balance of State
2016,IL-500,McHenry County
2016,IL-501,"Rockford,Winnebago, Boone Counties"
2016,IL-502,"Waukegan, North Chicago,Lake County"
2016,IL-503,"Champaign, Urbana, Rantoul,Champaign County"
2016,IL-504,Madison County
2016,IL-506,"Joliet, Bolingbrook,Will County"
2016,IL-507,"Peoria, Pekin,Fulton, Tazewell, Peoria, Woodford Counties"
2016,IL-508,"East St. Louis, Belleville,St. Clair County"
2016,IL-509,Dekalb City & County
2016,IL-510,Chicago
2016,IL-511,Cook County
2016,IL-512,"Bloomington,Central Illinois"
2016,IL-513,"Springfield,Sangamon County"
2016,IL-514,DuPage County
2016,IL-515,South Central Illinois
2016,IL-516,"Decatur,Macon County"
2016,IL-517,"Aurora, Elgin,Kane County"
2016,IL-518,"Rock Island, Moline,Northwestern Illinois"
2016,IL-519,West Central Illinois
2016,IL-520,Southern Illinois
2016,IN-502,Indiana Balance of State
2016,IN-503,Indianapolis
2016,KS-502,"Wichita,Sedgwick County"
2016,KS-503,"Topeka,Shawnee County"
2016,KS-505,"Overland Park, Shawnee,Johnson County"
2016,KS-507,Kansas Balance of State
2016,KY-500,Kentucky Balance of State
2016,KY-501,Louisville-Jefferson County
2016,KY-502,Lexington-Fayette County
2016,LA-500,"Lafayette,Acadiana"
2016,LA-502,"Shreveport, Bossier,Northwest Louisiana"
2016,LA-503,"New Orleans,Jefferson Parish"
2016,LA-505,"Monroe,Northeast Louisiana"
2016,LA-506,"Slidell,Southeast Louisiana"
2016,LA-507,"Alexandria,Central Louisiana"
2016,LA-509,Louisiana Balance of State
2016,MA-500,Boston
2016,MA-502,Lynn
2016,MA-503,Cape Cod Islands
2016,MA-504,"Springfield,Hampden County"
2016,MA-505,New Bedford
2016,MA-506,Worcester City & County
2016,MA-507,"Pittsfield,Berkshire, Franklin, Hampshire Counties"
2016,MA-508,Lowell
2016,MA-509,Cambridge
2016,MA-510,"Gloucester, Haverhill, Salem,Essex County"
2016,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County"
2016,MA-515,Fall River
2016,MA-516,Massachusetts Balance of State
2016,MA-517,Somerville
2016,MA-519,"Attleboro, Taunton,Bristol County"
2016,MD-500,"Cumberland,Allegany County"
2016,MD-501,Baltimore
2016,MD-502,Harford County
2016,MD-503,"Annapolis,Anne Arundel County"
2016,MD-504,Howard County
2016,MD-505,Baltimore County
2016,MD-506,Carroll County
2016,MD-507,Cecil County
2016,MD-508,"Charles, Calvert, St.Mary's Counties"
2016,MD-509,Frederick City & County
2016,MD-510,Garrett County
2016,MD-511,Mid-Shore Regional
2016,MD-512,"Hagerstown,Washington County"
2016,MD-513,"Wicomico, Somerset, Worcester Counties"
2016,MD-600,Prince George's County
2016,MD-601,Montgomery County
2016,ME-500,Maine Statewide
2016,MI-500,Michigan Balance of State
2016,MI-501,Detroit
2016,MI-502,"Dearborn, Dearborn Heights, Westland,Wayne County"
2016,MI-503,"St. Clair Shores, Warren,Macomb County"
2016,MI-504,"Pontiac, Royal Oak,Oakland County"
2016,MI-505,"Flint,Genesee County"
2016,MI-506,"Grand Rapids, Wyoming,Kent County"
2016,MI-507,"Portage, Kalamazoo City & County"
2016,MI-508,"Lansing, East Lansing,Ingham County"
2016,MI-509,Washtenaw County
2016,MI-510,Saginaw City & County
2016,MI-511,Lenawee County
2016,MI-512,"Grand Traverse, Antrim, Leelanau Counties"
2016,MI-513,"Marquette, Alger Counties"
2016,MI-514,"Battle Creek,Calhoun County"
2016,MI-515,Monroe City & County
2016,MI-516,"Norton Shores, Muskegon City & County"
2016,MI-517,Jackson City & County
2016,MI-518,Livingston County
2016,MI-519,"Holland,Ottawa County"
2016,MI-523,Eaton County
2016,MN-500,"Minneapolis,Hennepin County"
2016,MN-501,"Saint Paul,Ramsey County"
2016,MN-502,"Rochester,Southeast Minnesota"
2016,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties"
2016,MN-504,Northeast Minnesota
2016,MN-505,"St. Cloud,Central Minnesota"
2016,MN-506,Northwest Minnesota
2016,MN-508,"Moorhead,West Central Minnesota"
2016,MN-509,"Duluth,St.Louis County"
2016,MN-511,Southwest Minnesota
2016,MO-500,St. Louis County
2016,MO-501,St.Louis City
2016,MO-503,"St. Charles City & County, Lincoln, Warren Counties"
2016,MO-600,"Springfield,Greene, Christian, Webster Counties"
2016,MO-602,"Joplin,Jasper, Newton Counties"
2016,MO-603,"St. Joseph,Andrew, Buchanan, DeKalb Counties"
2016,MO-604a,"Kansas City, Independence, Lee’s Summit,Jackson, Wyandotte Counties, MO & KS"
2016,MO-606,Missouri Balance of State
2016,MS-500,"Jackson,Rankin, Madison Counties"
2016,MS-501,Mississippi Balance of State
2016,MS-503,"Gulf Port,Gulf Coast Regional"
2016,MT-500,Montana Statewide
2016,NC-500,"Winston-Salem,Forsyth County"
2016,NC-501,"Asheville,Buncombe County"
2016,NC-502,Durham City & County
2016,NC-503,North Carolina Balance of State
2016,NC-504,"Greensboro, High Point"
2016,NC-505,"Charlotte,Mecklenberg"
2016,NC-506,"Wilmington,Brunswick, New Hanover, Pender Counties"
2016,NC-507,"Raleigh,Wake County"
2016,NC-509,"Gastonia,Cleveland, Gaston, Lincoln Counties"
2016,NC-511,"Fayetteville,Cumberland County"
2016,NC-513,"Chapel Hill,Orange County"
2016,NC-516,Northwest North Carolina
2016,ND-500,North Dakota Statewide
2016,NE-500,Nebraska Balance of State
2016,NE-501,"Omaha, Council Bluffs"
2016,NE-502,Lincoln
2016,NH-500,New Hampshire Balance of State
2016,NH-501,Manchester
2016,NH-502,"Nashua,Hillsborough County"
2016,NJ-500,Atlantic City & County
2016,NJ-501,Bergen County
2016,NJ-502,Burlington County
2016,NJ-503,"Camden City & County,Gloucester, Cape May, Cumberland Counties"
2016,NJ-504,"Newark,Essex County"
2016,NJ-506,"Jersey City, Bayonne,Hudson County"
2016,NJ-507,"New Brunswick,Middlesex County"
2016,NJ-508,Monmouth County
2016,NJ-509,Morris County
2016,NJ-510,"Lakewood Township,Ocean County"
2016,NJ-511,"Paterson,Passaic County"
2016,NJ-513,Somerset County
2016,NJ-514,"Trenton,Mercer County"
2016,NJ-515,"Elizabeth,Union County"
2016,NJ-516,"Warren, Sussex, Hunterdon Counties"
2016,NM-500,Albuquerque
2016,NM-501,New Mexico Balance of State
2016,NV-500,"Las Vegas,Clark County"
2016,NV-501,"Reno, Sparks,Washoe County"
2016,NV-502,Nevada Balance of State
2016,NY-500,"Rochester, Irondequoit, Greece,Monroe County"
2016,NY-501,"Elmira,Steuben, Allegany, Livingston, Chemung, Schuyler Counties"
2016,NY-503,Albany City & County
2016,NY-504,Cattaragus County
2016,NY-505,"Syracuse, Auburn,Onondaga, Oswego, Cayuga Counties"
2016,NY-507,Schenectady City & County
2016,NY-508,"Buffalo, Niagara Falls,Erie, Niagara, Orleans, Genesee, Wyoming Counties"
2016,NY-510,"Ithaca,Tompkins County"
2016,NY-511,"Binghamton, Union Town,Broome, Otsego, Chenango, Delaware, Cortland, Tioga Count"
2016,NY-512,"Troy,Rensselaer County"
2016,NY-513,"Wayne, Ontario, Seneca, Yates Counties"
2016,NY-514,"Jamestown, Dunkirk,Chautauqua County"
2016,NY-516,Clinton County
2016,NY-518,"Utica, Rome,Oneida, Madison Counties"
2016,NY-519,"Columbia, Greene Counties"
2016,NY-520,"Franklin, Essex Counties"
2016,NY-522,"Jefferson, Lewis, St. Lawrence Counties"
2016,NY-523,"Glens Falls, Saratoga Springs,Saratoga, Washington, Warren, Hamilton Counties Co"
2016,NY-600,New York City
2016,NY-601,"Poughkeepsie,Dutchess County"
2016,NY-602,"Newburgh, Middletown,Orange County"
2016,NY-603,"Nassau, Suffolk Counties"
2016,NY-604,"Yonkers, Mount Vernon,Westchester County"
2016,NY-606,Rockland County
2016,NY-607,Sullivan County
2016,NY-608,"Kingston,Ulster County"
2016,OH-500,"Cincinnati,Hamilton County"
2016,OH-501,"Toledo,Lucas County"
2016,OH-502,"Cleveland,Cuyahoga County"
2016,OH-503,"Columbus,Franklin County"
2016,OH-504,"Youngstown,Mahoning County"
2016,OH-505,"Dayton, Kettering,Montgomery County"
2016,OH-506,"Akron, Barberton,Summit County"
2016,OH-507,Ohio Balance of State
2016,OH-508,"Canton, Massillon, Alliance,Stark County"
2016,OK-500,North Central Oklahoma
2016,OK-501,Tulsa City & County
2016,OK-502,Oklahoma City
2016,OK-503,Oklahoma Balance of State
2016,OK-504,"Norman,Cleveland County"
2016,OK-505,Northeast Oklahoma
2016,OK-506,Southwest Oklahoma Regional
2016,OK-507,Southeastern Oklahoma Regional
2016,OR-500,"Eugene, Springfield,Lane County"
2016,OR-501,"Portland, Gresham,Multnomah County"
2016,OR-502,"Medford, Ashland,Jackson County"
2016,OR-503,Central Oregon
2016,OR-505,Oregon Balance of State
2016,OR-506,"Hillsboro, Beaverton,Washington County"
2016,OR-507,Clackamas County
2016,PA-500,Philadelphia
2016,PA-501,"Harrisburg,Dauphin County"
2016,PA-502,"Upper Darby, Chester, Haverford,Delaware County"
2016,PA-503,"Wilkes-Barre, Hazleton,Luzerne County"
2016,PA-504,"Lower Merion, Norristown, Abington,Montgomery County"
2016,PA-505,Chester County
2016,PA-506,"Reading,Berks County"
2016,PA-508,"Scranton,Lackawanna County"
2016,PA-509,Eastern Pennsylvania
2016,PA-510,Lancaster City & County
2016,PA-511,"Bristol, Bensalem,Bucks County"
2016,PA-512,York City & County
2016,PA-600,"Pittsburgh, McKeesport, Penn Hills,Allegheny County"
2016,PA-601,Western Pennsylvania
2016,PA-603,Beaver County
2016,PA-605,Erie City & County
2016,PR-502,Puerto Rico Balance of Commonwealth
2016,PR-503,South-Southeast Puerto Rico
2016,RI-500,Rhode Island Statewide
2016,SC-500,"Charleston,Low Country"
2016,SC-501,"Greenville, Anderson, Spartanburg,Upstate"
2016,SC-502,"Columbia,Midlands"
2016,SC-503,"Myrtle Beach, Sumter City & County"
2016,SD-500,South Dakota Statewide
2016,TN-500,"Chattanooga,Southeast Tennessee"
2016,TN-501,"Memphis,Shelby County"
2016,TN-502,"Knoxville,Knox County"
2016,TN-503,Central Tennessee
2016,TN-504,Nashville-Davidson County
2016,TN-506,Upper Cumberland
2016,TN-507,"Jackson,West Tennessee"
2016,TN-509,Appalachian Regional
2016,TN-510,"Murfreesboro,Rutherford County"
2016,TN-512,"Morristown,Blount, Sevier, Campbell, Cocke Counties"
2016,TX-500,"San Antonio,Bexar County"
2016,TX-503,"Austin,Travis County"
2016,TX-600,"Dallas City & County, Irving"
2016,TX-601,"Fort Worth, Arlington,Tarrant County"
2016,TX-603,El Paso City & County
2016,TX-604,"Waco,McLennan County"
2016,TX-607,Texas Balance of State
2016,TX-611,Amarillo
2016,TX-624,"Wichita Falls,Wise, Palo Pinto, Wichita, Archer Counties"
2016,TX-700,"Houston, Pasadena, Conroe,Harris, Ft. Bend, Montgomery, Counties"
2016,TX-701,"Bryan, College Station,Brazos Valley"
2016,UT-500,Salt Lake City & County
2016,UT-503,Utah Balance of State
2016,UT-504,"Provo,Mountainland"
2016,VA-500,"Richmond,Henrico, Chesterfield, Hanover Counties"
2016,VA-501,"Norfolk,Chesapeake, Suffolk, Isle of Wight, Southampton Counties"
2016,VA-502,"Roanoke City & County, Salem"
2016,VA-503,Virginia Beach
2016,VA-504,Charlottesville
2016,VA-505,"Newport News, Hampton,Virginia Peninsula"
2016,VA-507,Portsmouth
2016,VA-508,Lynchburg
2016,VA-513,"Harrisburg, Winchester,Western Virginia"
2016,VA-514,"Fredericksburg,Spotsylvania, Stafford Counties"
2016,VA-521,Virginia Balance of State
2016,VA-600,Arlington County
2016,VA-601,Fairfax County
2016,VA-602,Loudoun County
2016,VA-603,Alexandria
2016,VA-604,Prince William County
2016,VI-500,Virgin Islands
2016,VT-500,Vermont Balance of State
2016,VT-501,"Burlington,Chittenden County"
2016,WA-500,"Seattle,King County"
2016,WA-501,Washington Balance of State
2016,WA-502,Spokane City & County
2016,WA-503,"Tacoma, Lakewood,Pierce County"
2016,WA-504,"Everett,Snohomish County"
2016,WA-508,"Vancouver,Clark County"
2016,WI-500,Wisconsin Balance of State
2016,WI-501,Milwaukee City & County
2016,WI-502,Racine City & County
2016,WI-503,"Madison,Dane County"
2016,WV-500,"Wheeling, Weirton Area"
2016,WV-501,"Huntington,Cabell, Wayne Counties"
2016,WV-503,"Charleston,Kanawha, Putnam, Boone, Clay Counties"
2016,WV-508,West Virginia Balance of State
2016,WY-500,Wyoming Statewide
2017,AK-500,Anchorage
2017,AK-501,Alaska Balance of State
2017,AL-500,"Birmingham,Jefferson, St. Clair, Shelby Counties"
2017,AL-501,"Mobile City & County,Baldwin County"
2017,AL-502,"Florence,Northwest Alabama"
2017,AL-503,"Huntsville,North Alabama"
2017,AL-504,Montgomery City & County
2017,AL-505,"Gadsden,Northeast Alabama"
2017,AL-506,Tuscaloosa City & County
2017,AL-507,Alabama Balance of State
2017,AR-500,"Little Rock,Central Arkansas"
2017,AR-501,"Fayetteville,Northwest Arkansas"
2017,AR-503,Arkansas Balance of State
2017,AR-505,Southeast Arkansas
2017,AR-508,Fort Smith
2017,AZ-500,Arizona Balance of State
2017,AZ-501,"Tucson,Pima County"
2017,AZ-502,"Phoenix, Mesa,Maricopa County"
2017,CA-500,"San Jose,Santa Clara City & County"
2017,CA-501,San Francisco
2017,CA-502,"Oakland, Berkeley,Alameda County"
2017,CA-503,Sacramento City & County
2017,CA-504,"Santa Rosa, Petaluma,Sonoma County"
2017,CA-505,"Richmond,Contra Costa County"
2017,CA-506,"Salinas,Monterey, San Benito Counties"
2017,CA-507,Marin County
2017,CA-508,"Watsonville,Santa Cruz City & County"
2017,CA-509,Mendocino County
2017,CA-510,"Turlock, Modesto,Stanislaus County"
2017,CA-511,"Stockton,San Joaquin County"
2017,CA-512,"Daly,San Mateo County"
2017,CA-513,"Visalia,Kings, Tulare Counties"
2017,CA-514,"Fresno City & County,Madera County"
2017,CA-515,"Roseville, Rocklin,Placer, Nevada Counties"
2017,CA-516,"Redding,Shasta, Siskiyou, Lassen, Plumas, Del Norte, Modoc, Sierra Counties"
2017,CA-517,Napa City & County
2017,CA-518,"Vallejo,Solano County"
2017,CA-519,"Chico, Paradise,Butte County"
2017,CA-520,Merced City & County
2017,CA-521,"Davis, Woodland,Yolo County"
2017,CA-522,Humboldt County
2017,CA-523,"Colusa, Glenn, Trinity Counties"
2017,CA-524,"Yuba City & County,Sutter County"
2017,CA-525,El Dorado County
2017,CA-526,"Amador, Calaveras, Mariposa, Tuolumne Counties"
2017,CA-527,Tehama County
2017,CA-529,Lake County
2017,CA-530,"Alpine, Inyo, Mono Counties"
2017,CA-600,Los Angeles City & County
2017,CA-601,San Diego City and County
2017,CA-602,"Santa Ana, Anaheim,Orange County"
2017,CA-603,"Santa Maria,Santa Barbara County"
2017,CA-604,"Bakersfield,Kern County"
2017,CA-606,Long Beach
2017,CA-607,Pasadena
2017,CA-608,Riverside City & County
2017,CA-609,San Bernardino City & County
2017,CA-611,"Oxnard, San Buenaventura,Ventura County"
2017,CA-612,Glendale
2017,CA-613,Imperial County
2017,CA-614,San Luis Obispo County
2017,CO-500,Colorado Balance of State
2017,CO-503,Metropolitan Denver
2017,CO-504,"Colorado Springs,El Paso County"
2017,CT-503,"Bridgeport, Stamford, Norwalk,Fairfield County"
2017,CT-505,Connecticut Balance of State
2017,DC-500,District of Columbia
2017,DE-500,Delaware Statewide
2017,FL-500,"Sarasota, Bradenton,Manatee, Sarasota Counties"
2017,FL-501,"Tampa,Hillsborough County"
2017,FL-502,"St. Petersburg, Clearwater, Largo,Pinellas County"
2017,FL-503,"Lakeland, Winterhaven,Polk County"
2017,FL-504,"Daytona Beach, Daytona,Volusia, Flagler Counties"
2017,FL-505,"Fort Walton Beach,Okaloosa, Walton Counties"
2017,FL-506,"Tallahassee,Leon County"
2017,FL-507,"Orlando,Orange, Osceola, Seminole Counties"
2017,FL-508,"Gainesville,Alachua, Putnam Counties"
2017,FL-509,"Fort Pierce,St. Lucie, Indian River, Martin Counties"
2017,FL-510,"Jacksonville-Duval, Clay Counties"
2017,FL-511,"Pensacola,Escambia, Santa Rosa Counties"
2017,FL-512,St. Johns County
2017,FL-513,"Palm Bay, Melbourne,Brevard County"
2017,FL-514,"Ocala,Marion County"
2017,FL-515,"Panama City,Bay, Jackson Counties"
2017,FL-517,"Hendry, Hardee, Highlands Counties"
2017,FL-518,"Columbia, Hamilton, Lafayette, Suwannee Counties"
2017,FL-519,Pasco County
2017,FL-520,"Citrus, Hernando, Lake, Sumter Counties"
2017,FL-600,Miami-Dade County
2017,FL-601,"Ft Lauderdale,Broward County"
2017,FL-602,"Punta Gorda,Charlotte County"
2017,FL-603,"Ft Myers, Cape Coral,Lee County"
2017,FL-604,Monroe County
2017,FL-605,"West Palm Beach,Palm Beach County"
2017,FL-606,"Naples,Collier County"
2017,GA-500,Atlanta
2017,GA-501,Georgia Balance of State
2017,GA-502,Fulton County
2017,GA-503,Athens-Clarke County
2017,GA-504,Augusta-Richmond County
2017,GA-505,"Columbus-Muscogee,Russell County"
2017,GA-506,"Marietta,Cobb County"
2017,GA-507,"Savannah,Chatham County"
2017,GA-508,DeKalb County
2017,GU-500,Guam
2017,HI-500,Hawaii Balance of State
2017,HI-501,Honolulu City and County
2017,IA-500,"Sioux City,Dakota, Woodbury Counties"
2017,IA-501,Iowa Balance of State
2017,IA-502,"Des Moines,Polk County"
2017,ID-500,"Boise,Ada County"
2017,ID-501,Idaho Balance of State
2017,IL-500,McHenry County
2017,IL-501,"Rockford,Winnebago, Boone Counties"
2017,IL-502,"Waukegan, North Chicago,Lake County"
2017,IL-503,"Champaign, Urbana, Rantoul,Champaign County"
2017,IL-504,Madison County
2017,IL-506,"Joliet, Bolingbrook,Will County"
2017,IL-507,"Peoria, Pekin,Fulton, Tazewell, Peoria, Woodford Counties"
2017,IL-508,"East St. Louis, Belleville,St. Clair County"
2017,IL-509,Dekalb City & County
2017,IL-510,Chicago
2017,IL-511,Cook County
2017,IL-512,"Bloomington,Central Illinois"
2017,IL-513,"Springfield,Sangamon County"
2017,IL-514,DuPage County
2017,IL-515,South Central Illinois
2017,IL-516,"Decatur,Macon County"
2017,IL-517,"Aurora, Elgin,Kane County"
2017,IL-518,"Rock Island, Moline,Northwestern Illinois"
2017,IL-519,West Central Illinois
2017,IL-520,Southern Illinois
2017,IN-502,Indiana Balance of State
2017,IN-503,Indianapolis
2017,KS-502,"Wichita,Sedgwick County"
2017,KS-503,"Topeka,Shawnee County"
2017,KS-505,"Overland Park, Shawnee,Johnson County"
2017,KS-507,Kansas Balance of State
2017,KY-500,Kentucky Balance of State
2017,KY-501,Louisville-Jefferson County
2017,KY-502,Lexington-Fayette County
2017,LA-500,"Lafayette,Acadiana"
2017,LA-502,"Shreveport, Bossier,Northwest Louisiana"
2017,LA-503,"New Orleans,Jefferson Parish"
2017,LA-505,"Monroe,Northeast Louisiana"
2017,LA-506,"Slidell,Southeast Louisiana"
2017,LA-507,"Alexandria,Central Louisiana"
2017,LA-509,Louisiana Balance of State
2017,MA-500,Boston
2017,MA-502,Lynn
2017,MA-503,Cape Cod Islands
2017,MA-504,"Springfield,Hampden County"
2017,MA-505,New Bedford
2017,MA-506,Worcester City & County
2017,MA-507,"Pittsfield,Berkshire, Franklin, Hampshire Counties"
2017,MA-508,Lowell
2017,MA-509,Cambridge
2017,MA-510,"Gloucester, Haverhill, Salem,Essex County"
2017,MA-511,"Quincy, Brockton, Weymouth, Plymouth City and County"
2017,MA-515,Fall River
2017,MA-516,Massachusetts Balance of State
2017,MA-517,Somerville
2017,MA-519,"Attleboro, Taunton,Bristol County"
2017,MD-500,"Cumberland,Allegany County"
2017,MD-501,Baltimore
2017,MD-502,Harford County
2017,MD-503,"Annapolis,Anne Arundel County"
2017,MD-504,Howard County
2017,MD-505,Baltimore County
2017,MD-506,Carroll County
2017,MD-507,Cecil County
2017,MD-508,"Charles, Calvert, St.Mary's Counties"
2017,MD-509,Frederick City & County
2017,MD-510,Garrett County
2017,MD-511,Mid-Shore Regional
2017,MD-512,"Hagerstown,Washington County"
2017,MD-513,"Wicomico, Somerset, Worcester Counties"
2017,MD-600,Prince George's County
2017,MD-601,Montgomery County
2017,ME-500,Maine Statewide
2017,MI-500,Michigan Balance of State
2017,MI-501,Detroit
2017,MI-502,"Dearborn, Dearborn Heights, Westland,Wayne County"
2017,MI-503,"St. Clair Shores, Warren,Macomb County"
2017,MI-504,"Pontiac, Royal Oak,Oakland County"
2017,MI-505,"Flint,Genesee County"
2017,MI-506,"Grand Rapids, Wyoming,Kent County"
2017,MI-507,"Portage, Kalamazoo City & County"
2017,MI-508,"Lansing, East Lansing,Ingham County"
2017,MI-509,Washtenaw County
2017,MI-510,Saginaw City & County
2017,MI-511,Lenawee County
2017,MI-512,"Grand Traverse, Antrim, Leelanau Counties"
2017,MI-513,"Marquette, Alger Counties"
2017,MI-514,"Battle Creek,Calhoun County"
2017,MI-515,Monroe City & County
2017,MI-516,"Norton Shores, Muskegon City & County"
2017,MI-517,Jackson City & County
2017,MI-518,Livingston County
2017,MI-519,"Holland,Ottawa County"
2017,MI-523,Eaton County
2017,MN-500,"Minneapolis,Hennepin County"
2017,MN-501,"Saint Paul,Ramsey County"
2017,MN-502,"Rochester,Southeast Minnesota"
2017,MN-503,"Dakota, Anoka, Washington, Scott, Carver Counties"
2017,MN-504,Northeast Minnesota
2017,MN-505,"St. Cloud,Central Minnesota"
2017,MN-506,Northwest Minnesota
2017,MN-508,"Moorhead,West Central Minnesota"
2017,MN-509,"Duluth,St.Louis County"
2017,MN-511,Southwest Minnesota
2017,MO-500,St. Louis County
2017,MO-501,St.Louis City
2017,MO-503,"St. Charles City & County, Lincoln, Warren Counties"
2017,MO-600,"Springfield,Greene, Christian, Webster Counties"
2017,MO-602,"Joplin,Jasper, Newton Counties"
2017,MO-603,"St. Joseph,Andrew, Buchanan, DeKalb Counties"
2017,MO-604a,"Kansas City, Independence, Lee’s Summit,Jackson, Wyandotte Counties, MO & KS"
2017,MO-606,Missouri Balance of State
2017,MP-500,Northern Mariana Islands
2017,MS-500,"Jackson,Rankin, Madison Counties"
2017,MS-501,Mississippi Balance of State
2017,MS-503,"Gulf Port,Gulf Coast Regional"
2017,MT-500,Montana Statewide
2017,NC-500,"Winston-Salem,Forsyth County"
2017,NC-501,"Asheville,Buncombe County"
2017,NC-502,Durham City & County
2017,NC-503,North Carolina Balance of State
2017,NC-504,"Greensboro, High Point"
2017,NC-505,"Charlotte,Mecklenberg"
2017,NC-506,"Wilmington,Brunswick, New Hanover, Pender Counties"
2017,NC-507,"Raleigh,Wake County"
2017,NC-509,"Gastonia,Cleveland, Gaston, Lincoln Counties"
2017,NC-511,"Fayetteville,Cumberland County"
2017,NC-513,"Chapel Hill,Orange County"
2017,NC-516,Northwest North Carolina
2017,ND-500,North Dakota Statewide
2017,NE-500,Nebraska Balance of State
2017,NE-501,"Omaha, Council Bluffs"
2017,NE-502,Lincoln
2017,NH-500,New Hampshire Balance of State
2017,NH-501,Manchester
2017,NH-502,"Nashua,Hillsborough County"
2017,NJ-500,Atlantic City & County
2017,NJ-501,Bergen County
2017,NJ-502,Burlington County
